description,title
"Like ,, but raises , when the substring is not found.",numpy.char.index
"Returns True if any of the elements of , evaluate to True.",numpy.ndarray.any
"Remove axes of length one from ,.",numpy.ma.squeeze
"For each element, return the lowest index in the string where
substring , is found.",numpy.char.find
"Split an array into multiple sub-arrays as views into ,.",numpy.split
"Returns a boolean array which is , where the string element
in , ends with ,, otherwise ,.",numpy.char.endswith
Return (x1 < x2) element-wise.,numpy.char.less
Return self<value.,numpy.dtype.__lt__
"Returns true for each element if the element is a titlecased
string and there is at least one character, false otherwise.",numpy.char.istitle
Expand the shape of an array.,numpy.ma.expand_dims
Return the normalized sinc function.,numpy.sinc
"Return true for each element if all cased characters in the
string are uppercase and there is at least one character, false
otherwise.",numpy.char.isupper
View inputs as arrays with at least three dimensions.,numpy.ma.atleast_3d
Stack arrays in sequence horizontally (column wise).,numpy.ma.hstack
Return len(a) element-wise.,numpy.char.str_len
"Returns a boolean array which is , where the string element
in , starts with ,, otherwise ,.",numpy.char.startswith
Append values to the end of an array.,numpy.append
"For each element, return True if there are only numeric
characters in the element.",numpy.char.isnumeric
"Returns true for each element if there are only whitespace
characters in the string and there is at least one character,
false otherwise.",numpy.char.isspace
"For each element in ,, return the highest index in the string
where substring , is found, such that , is contained
within [,, ,].",numpy.char.rfind
Stack arrays in sequence depth wise (along third axis).,numpy.ma.dstack
"Create a ,.",numpy.char.array
Roll array elements along a given axis.,numpy.roll
Reverse the order of elements along axis 0 (up/down).,numpy.flipud
Provides a convenient view on arrays of string and unicode values.,numpy.char.chararray
Concatenate a sequence of arrays along the given axis.,numpy.ma.concatenate
"Convert the input to a ,, copying the data only if
necessary.",numpy.char.asarray
Reverse the order of elements along axis 1 (left/right).,numpy.fliplr
Split an array into multiple sub-arrays horizontally (column-wise).,numpy.ma.hsplit
Stack arrays in sequence vertically (row wise).,numpy.ma.row_stack
Generate a Vandermonde matrix.,numpy.vander
"Return a parametrized wrapper around the , type.",numpy.ndarray.__class_getitem__
Stack arrays in sequence vertically (row wise).,numpy.ma.vstack
Construct a dtype description list from a given dtype.,numpy.ma.make_mask_descr
Append values to the end of an array.,numpy.ma.append
Stack 1-D arrays as columns into a 2-D array.,numpy.ma.column_stack
Current mask.,numpy.ma.masked_array.mask
"Like ,, but raises , when the substring , is
not found.",numpy.char.rindex
Multidimensional index iterator.,numpy.ma.ndenumerate
Trim the leading and/or trailing zeros from a 1-D array or sequence.,numpy.trim_zeros
Create a boolean mask from an array.,numpy.ma.make_mask
Insert values along the given axis before the given indices.,numpy.insert
Find the indices of the first and last unmasked values.,numpy.ma.flatnotmasked_edges
"Returns a list of slices corresponding to the masked clumps of a 1-D array.
(A “clump” is defined as a contiguous region of the array).",numpy.ma.clump_masked
Mask columns of a 2D array that contain masked values.,numpy.ma.mask_cols
Mask rows of a 2D array that contain masked values.,numpy.ma.mask_rows
"Combine two masks with the , operator.",numpy.ma.mask_or
"Return a boolean mask of the given shape, filled with False.",numpy.ma.make_mask_none
Find contiguous unmasked data in a masked array.,numpy.ma.flatnotmasked_contiguous
Mask rows and/or columns of a 2D array that contain masked values.,numpy.ma.mask_rowcols
"Return list of slices corresponding to the unmasked clumps of a 1-D array.
(A “clump” is defined as a contiguous region of the array).",numpy.ma.clump_unmasked
Find the indices of the first and last unmasked values along an axis.,numpy.ma.notmasked_edges
"Return a new array with sub-arrays along an axis deleted. For a one
dimensional array, this returns those entries not returned by
,.",numpy.delete
Upper triangle of an array.,numpy.triu
Find contiguous unmasked data in a masked array along the given axis.,numpy.ma.notmasked_contiguous
"Returns true for each element if all cased characters in the
string are lowercase and there is at least one cased character,
false otherwise.",numpy.char.islower
View inputs as arrays with at least two dimensions.,numpy.ma.atleast_2d
Return the maximum of an array or maximum along an axis.,numpy.amax
Convert inputs to arrays with at least one dimension.,numpy.ma.atleast_1d
,numpy.lib.format.write_array_header_2_0
Construct an array by repeating A the number of times given by reps.,numpy.tile
Buffered iterator for big arrays.,numpy.lib.Arrayterator
Create a two-dimensional array with the flattened input as a diagonal.,numpy.diagflat
"Return the maximum of an array or maximum along an axis, ignoring any
NaNs.  When all-NaN slices are encountered a , is
raised and NaN is returned for that slice.",numpy.nanmax
"For each element, return True if there are only decimal
characters in the element.",numpy.char.isdecimal
Lower triangle of an array.,numpy.tril
An array with ones at and below the given diagonal and zeros elsewhere.,numpy.tri
"Returns true for each element if all characters in the string are
digits and there is at least one character, false otherwise.",numpy.char.isdigit
Flat iterator object to iterate over arrays.,numpy.flatiter
"Return minimum of an array or minimum along an axis, ignoring any NaNs.
When all-NaN slices are encountered a , is raised and
Nan is returned for that slice.",numpy.nanmin
"Returns true for each element if all characters in the string are
alphanumeric and there is at least one character, false otherwise.",numpy.char.isalnum
"Returns true for each element if all characters in the string are
alphabetic and there is at least one character, false otherwise.",numpy.char.isalpha
Permute the dimensions of an array.,numpy.ma.transpose
Create nditers for use in nested loops,numpy.nested_iters
,numpy.ma.swapaxes
Suppress whole rows of a 2-D array that contain masked values.,numpy.ma.compress_rows
Returns an array containing the same data with a new shape.,numpy.ma.reshape
"Return a parametrized wrapper around the , type.",numpy.number.__class_getitem__
Return the minimum value that can be represented by the dtype of an object.,numpy.ma.maximum_fill_value
Return the maximum value that can be represented by the dtype of an object.,numpy.ma.minimum_fill_value
"If input is complex with all imaginary parts close to zero, return
real parts.",numpy.real_if_close
Return the default fill value for the argument object.,numpy.ma.default_fill_value
"Set the filling value of a, if a is a masked array.",numpy.ma.set_fill_value
"Suppress the rows and/or columns of a 2-D array that contain
masked values.",numpy.ma.compress_rowcols
Suppress whole columns of a 2-D array that contain masked values.,numpy.ma.compress_cols
Return (x1 > x2) element-wise.,numpy.char.greater
Return the product of the array elements over the given axis,numpy.ndarray.prod
Return the gradient of an N-dimensional array.,numpy.gradient
"Returns a 1D version of self, as a view.",numpy.ma.ravel
"Return the common filling value of two masked arrays, if any.",numpy.ma.common_fill_value
Return self<=value.,numpy.dtype.__le__
Return the cumulative sum of the elements along the given axis.,numpy.ndarray.cumsum
Compute the variance along the specified axis.,numpy.ma.var
The differences between consecutive elements of an array.,numpy.ediff1d
Compute the median along the specified axis.,numpy.ma.median
Return the cumulative sum of the array elements over the given axis.,numpy.ma.cumsum
Return the product of the array elements over the given axis.,numpy.ma.prod
"Return the complex conjugate, element-wise.",numpy.ma.conjugate
Return the sum of the array elements over the given axis.,numpy.ma.sum
Returns the standard deviation of the array elements along given axis.,numpy.ma.std
Calculate the n-th discrete difference along the given axis.,numpy.ma.diff
Returns element-wise base array raised to power from second array.,numpy.ma.power
Return an array representing the indices of a grid.,numpy.ma.indices
Returns the average of the array elements along given axis.,numpy.ma.mean
Estimate the covariance matrix.,numpy.ma.cov
Return the cumulative product of the array elements over the given axis.,numpy.ma.cumprod
Return Pearson product-moment correlation coefficients.,numpy.ma.corrcoef
Return the weighted average of array over the given axis.,numpy.ma.average
Return the minimum along a given axis.,numpy.ma.min
Apply a function repeatedly over multiple axes.,numpy.ma.apply_over_axes
Return a sorted copy of the masked array.,numpy.ma.sort
Clip (limit) the values in an array.,numpy.ma.clip
Compute the differences between consecutive elements of an array.,numpy.ma.ediff1d
Return evenly spaced values within a given interval.,numpy.ma.arange
Use an index array to construct a new array from a list of choices.,numpy.ma.choose
Apply a function to 1-D slices along the given axis.,numpy.ma.apply_along_axis
Least squares polynomial fit.,numpy.ma.polyfit
Returns True if two arrays are element-wise equal within a tolerance.,numpy.ma.allclose
"Return a copy of a, rounded to ‘decimals’ places.",numpy.ma.round
"Return True if all entries of a and b are equal, using
fill_value as a truth value where either or both are masked.",numpy.ma.allequal
,numpy.ma.trace
Compute the outer product of two vectors.,numpy.ma.outerproduct
Round an array to the given number of decimals.,numpy.ma.around
Generate a Vandermonde matrix.,numpy.ma.vander
Inner product of two arrays.,numpy.ma.innerproduct
Inner product of two arrays.,numpy.ma.inner
Return the identity array.,numpy.ma.identity
Compute the outer product of two vectors.,numpy.ma.outer
"Return an ndarray of indices that sort the array along the
specified axis.  Masked values are filled beforehand to
,.",numpy.ma.argsort
"Returns array of indices of the maximum values along the given axis.
Masked values are treated as if they had the value fill_value.",numpy.ma.argmax
"Compute the anomalies (deviations from the arithmetic mean)
along the given axis.",numpy.ma.anom
Return the dot product of two arrays.,numpy.ma.dot
Extract a diagonal or construct a diagonal array.,numpy.ma.diag
Return the maximum along a given axis.,numpy.ma.max
Return array of indices to the minimum values along the given axis.,numpy.ma.argmin
"Compute the anomalies (deviations from the arithmetic mean)
along the given axis.",numpy.ma.anomalies
"Convert the input to a ,, copying the data only if
necessary.",numpy.core.defchararray.asarray
"Return (maximum - minimum) along the given dimension
(i.e. peak-to-peak value).",numpy.ma.ptp
Return (x1 <= x2) element-wise.,numpy.char.less_equal
Return the sum of the array elements over the given axis.,numpy.ndarray.sum
Assemble an nd-array from nested lists of blocks.,numpy.block
Return self>value.,numpy.dtype.__gt__
"Return the cumulative sum of array elements over a given axis treating Not a
Numbers (NaNs) as zero.  The cumulative sum does not change when NaNs are
encountered and leading NaNs are replaced by zeros.",numpy.nancumsum
Scalar method identical to the corresponding array attribute.,numpy.generic.setflags
Returns the standard deviation of the array elements along given axis.,numpy.ndarray.std
Return (x1 >= x2) element-wise.,numpy.char.greater_equal
Change elements of an array based on conditional and input values.,numpy.place
,numpy.generic.__setstate__
Create a view into the array with the given shape and strides.,numpy.lib.stride_tricks.as_strided
Return self>=value.,numpy.dtype.__ge__
"Return , with each element rounded to the given number of decimals.",numpy.ndarray.round
"Return the cumulative product of array elements over a given axis treating Not a
Numbers (NaNs) as one.  The cumulative product does not change when NaNs are
encountered and leading NaNs are replaced by ones.",numpy.nancumprod
Return (x1 != x2) element-wise.,numpy.char.not_equal
Generic Python-exception-derived object raised by linalg functions.,numpy.linalg.LinAlgError
Helper for pickle.,numpy.generic.__reduce__
"Return an array drawn from elements in choicelist, depending on conditions.",numpy.select
"Return a parametrized wrapper around the , type.",numpy.dtype.__class_getitem__
Return (x1 == x2) element-wise.,numpy.char.equal
Scalar method identical to the corresponding array attribute.,numpy.generic.byteswap
Create a record array from binary data,numpy.core.records.fromstring
,numpy.dtype.__setstate__
Create a recarray from a list of records in text form.,numpy.core.records.fromrecords
Return the numeric string left-filled with zeros,numpy.char.zfill
Return an ndarray of the provided type that satisfies requirements.,numpy.require
Scalar method identical to the corresponding array attribute.,numpy.generic.squeeze
Helper for pickle.,numpy.dtype.__reduce__
"Return the complex conjugate, element-wise.",numpy.ndarray.conjugate
Compute the ‘inverse’ of an N-dimensional array.,numpy.linalg.tensorinv
Extract a diagonal or construct a diagonal array.,numpy.diag
Test whether input is an instance of MaskedArray.,numpy.ma.isarray
"Return an array whose values are limited to ,.
One of max or min must be given.",numpy.ndarray.clip
"Convert the input to an array, checking for NaNs or Infs.",numpy.asarray_chkfinite
sc.__array__(dtype) return 0-dim array from scalar with specified dtype,numpy.generic.__array__
Create a record array from a (flat) list of arrays,numpy.core.records.fromarrays
Return a new dtype with a different byte order.,numpy.dtype.newbyteorder
Return the sum along diagonals of the array.,numpy.ndarray.trace
"For each element in ,, return a copy of the string where all
characters occurring in the optional argument , are
removed, and the remaining characters have been mapped through the
given translation table.",numpy.char.translate
Test whether input is an instance of MaskedArray.,numpy.ma.isMA
sc.__array_wrap__(obj) return scalar from array,numpy.generic.__array_wrap__
"Return True if m is a valid, standard mask.",numpy.ma.is_mask
Return an array converted to a float type.,numpy.asfarray
"Either , or a readonly dictionary of metadata (mappingproxy).",numpy.dtype.metadata
"Return the product of array elements over a given axis treating Not a
Numbers (NaNs) as ones.",numpy.nanprod
Test whether input is an instance of MaskedArray.,numpy.ma.isMaskedArray
Return the minimum along a given axis.,numpy.ndarray.min
Returns the average of the array elements along given axis.,numpy.ndarray.mean
Peak to peak (maximum - minimum) value along a given axis.,numpy.ndarray.ptp
"Return element-wise a copy of the string with
uppercase characters converted to lowercase and vice versa.",numpy.char.swapcase
Array protocol: struct,numpy.generic.__array_struct__
Determine whether input has masked values.,numpy.ma.is_masked
,numpy.lib.format
"Solve the tensor equation , for x.",numpy.linalg.tensorsolve
"A generic data source file (file, http, ftp, …).",numpy.DataSource
Return the number of elements along a given axis.,numpy.ma.size
Return the maximum along a given axis.,numpy.ndarray.max
Array protocol: Python side,numpy.generic.__array_interface__
Create a new 1-dimensional array from an iterable object.,numpy.fromiter
"For each element in ,, return a list of the lines in the
element, breaking at line boundaries.",numpy.char.splitlines
 description of the data-type.,numpy.dtype.descr
"For each element in ,, return a copy with the leading and
trailing characters removed.",numpy.char.strip
Return the indices for the upper-triangle of arr.,numpy.triu_indices_from
"Boolean indicating whether the byte order of this dtype is native
to the platform.",numpy.dtype.isnative
Scalar attribute identical to the corresponding array attribute.,numpy.generic.T
"For each element in ,, return a copy with the trailing
characters removed.",numpy.char.rstrip
Return indices of the minimum values along the given axis.,numpy.ndarray.argmin
Return the shape of an array.,numpy.ma.shape
"For each element in ,, return a list of the words in the
string, using , as the delimiter string.",numpy.char.split
Return indices of the maximum values along the given axis.,numpy.ndarray.argmax
Standard container-class for easy multiple-inheritance.,numpy.lib.user_array.container
Rotate an array by 90 degrees in the plane specified by axes.,numpy.rot90
Return a string representation of a number in the given base system.,numpy.base_repr
Bit-flags describing how this data type is to be interpreted.,numpy.dtype.flags
The imaginary part of the scalar.,numpy.generic.imag
Return selected slices of this array along given axis.,numpy.ndarray.compress
Return the indices for the lower-triangle of arr.,numpy.tril_indices_from
Returns True if input arrays are shape consistent and all elements equal.,numpy.array_equiv
Round to nearest integer towards zero.,numpy.fix
"For each element in ,, return a list of the words in the
string, using , as the delimiter string.",numpy.char.rsplit
Return the indices of the bins to which each value in input array belongs.,numpy.digitize
The real part of the scalar.,numpy.generic.real
"Return the indices for the lower-triangle of an (n, m) array.",numpy.tril_indices
"Boolean indicating whether this dtype contains any reference-counted
objects in any fields or sub-dtypes.",numpy.dtype.hasobject
Set a Python function to be used when pretty printing arrays.,numpy.set_string_function
"True if two arrays have the same shape and elements, False otherwise.",numpy.array_equal
Partition (split) each element around the right-most separator.,numpy.char.rpartition
Evenly round to the given number of decimals.,numpy.around
Compute the condition number of a matrix.,numpy.linalg.cond
Get array data-descriptor.,numpy.generic.dtype
"Return the indices to access (n, n) arrays, given a masking function.",numpy.mask_indices
"Shape tuple of the sub-array if this data type describes a sub-array,
and , otherwise.",numpy.dtype.shape
Return the current print options.,numpy.get_printoptions
"Returns a boolean array where two arrays are element-wise equal within a
tolerance.",numpy.isclose
"Return specified diagonals. In NumPy 1.9 the returned array is a
read-only view instead of a copy as in previous NumPy versions.  In
a future version the read-only restriction will be removed.",numpy.ndarray.diagonal
"Return the character for the minimum-size type to which given types can
be safely cast.",numpy.mintypecode
Returns the indices that would partition this array.,numpy.ndarray.argpartition
Scalar attribute identical to the corresponding array attribute.,numpy.generic.base
Return the indices to access the main diagonal of an n-dimensional array.,numpy.diag_indices_from
Returns True if two arrays are element-wise equal within a tolerance.,numpy.allclose
"Tuple , if this , describes a sub-array, and
None otherwise.",numpy.dtype.subdtype
Count the number of masked elements along the given axis.,numpy.ma.count_masked
Return a contiguous array (ndim >= 1) in memory (C order).,numpy.ascontiguousarray
Provides a convenient view on arrays of string and unicode values.,numpy.chararray
Set printing options.,numpy.set_printoptions
"For each element in ,, return a copy of the string with all
occurrences of substring , replaced by ,.",numpy.char.replace
Shift the zero-frequency component to the center of the spectrum.,numpy.fft.fftshift
"Rearranges the elements in the array in such a way that the value of the
element in kth position is in the position it would be in a sorted array.
All elements smaller than the kth element are moved before this element and
all equal or greater are moved behind it. The ordering of the elements in
the two partitions is undefined.",numpy.ndarray.partition
Return the string representation of a scalar dtype.,numpy.sctype2char
"Ordered list of field names, or , if there are no fields.",numpy.dtype.names
Write any changes in the array to the file on disk.,numpy.memmap.flush
Return the indices to access the main diagonal of an array.,numpy.diag_indices
Count the non-masked elements of the array along the given axis.,numpy.ma.count
Return a description for the given data type code.,numpy.typename
"Convert the input to an ndarray, but pass ndarray subclasses through.",numpy.asanyarray
"Partition each element in , around ,.",numpy.char.partition
"Return the Discrete Fourier Transform sample frequencies
(for usage with rfft, irfft).",numpy.fft.rfftfreq
"Counts the number of non-zero values in the array ,.",numpy.count_nonzero
A character indicating the byte-order of this data-type object.,numpy.dtype.byteorder
Compute the bi-dimensional histogram of two data samples.,numpy.histogram2d
Return the elements of an array that satisfy some condition.,numpy.extract
The element size of this data-type object.,numpy.dtype.itemsize
Number of array dimensions.,numpy.ndarray.ndim
Return an array of zeros with the same shape and type as a given array.,numpy.ma.zeros_like
Determine if a class is a subclass of a second class.,numpy.issubclass_
Returns the indices that would sort this array.,numpy.ndarray.argsort
Compute the inverse FFT of a signal that has Hermitian symmetry.,numpy.fft.ihfft
Returns True if all elements evaluate to True.,numpy.ma.all
"Converts a tuple of index arrays into an array of flat
indices, applying boundary modes to the multi-index.",numpy.ravel_multi_index
The number of array dimensions.,numpy.generic.ndim
Return the indices of the elements that are non-zero.,numpy.ndarray.nonzero
A bit-width name for this data-type.,numpy.dtype.name
"Returns True if the type of , is a scalar type.",numpy.isscalar
Display a message on a device.,numpy.disp
"Return an array with the elements of , left-justified in a
string of length ,.",numpy.char.ljust
Use an index array to construct a new array from a set of choices.,numpy.ndarray.choose
View of the transposed array.,numpy.ndarray.T
"Compute the FFT of a signal that has Hermitian symmetry, i.e., a real
spectrum.",numpy.fft.hfft
Determine if the first argument is a subclass of the second argument.,numpy.issubsctype
Tuple of bytes steps in each dimension.,numpy.generic.strides
"Computes the inverse of ,.",numpy.fft.irfftn
"Return a new array of given shape and type, filled with zeros.",numpy.ma.zeros
Return a string representation of the data in an array.,numpy.array_str
Return an array of ones with the same shape and type as a given array.,numpy.ma.ones_like
Print the NumPy arrays in the given dictionary.,numpy.who
Return True if x is a not complex type or an array of complex numbers.,numpy.isrealobj
Returns True if first argument is a typecode lower/equal in type hierarchy.,numpy.issubdtype
Check whether or not an object can be iterated over.,numpy.iterable
The array-protocol typestring of this data-type object.,numpy.dtype.str
Return the string representation of an array.,numpy.array_repr
Return a string representation of an array.,numpy.array2string
Compute the qr factorization of a matrix.,numpy.linalg.qr
Repeat elements of an array.,numpy.ndarray.repeat
The integer value of flags.,numpy.generic.flags
Tuple of array dimensions.,numpy.generic.shape
"Return a new array of given shape and type, filled with ones.",numpy.ma.ones
"Returns a bool array, where True if input element is real.",numpy.isreal
"Return an array formed from the elements of , at the given indices.",numpy.ndarray.take
Deprecates a function and includes the deprecation in its docstring.,numpy.deprecate_with_doc
Construct a record array from a wide-variety of objects.,numpy.core.records.array
"Compute the standard deviation along the specified axis, while
ignoring NaNs.",numpy.nanstd
Empty masked array with the properties of an existing array.,numpy.ma.masked_all_like
Kronecker product of two arrays.,numpy.kron
"Returns the (multiplicative) inverse of invertible ,.",numpy.matrix.I
"Roll the specified axis backwards, until it lies in a given position.",numpy.rollaxis
"Computes the inverse of ,.",numpy.fft.irfft2
"Calls , element-wise.",numpy.char.encode
A unique character code for each of the 21 different built-in types.,numpy.dtype.char
"operands[,]",numpy.nditer.operands
Unwrap by taking the complement of large deltas with respect to the period.,numpy.unwrap
Machine limits for floating point types.,numpy.finfo
"Check if the array is Fortran contiguous but , C contiguous.",numpy.isfortran
"Compute the inverse hyperbolic tangent of ,.",numpy.emath.arctanh
"Issues a DeprecationWarning, adds warning to ,’s
docstring, rebinds , and returns the new
function object.",numpy.deprecate
Machine limits for integer types.,numpy.iinfo
"Returns the (complex) conjugate transpose of ,.",numpy.matrix.H
A data-type scalar that allows field access as attribute lookup.,numpy.record
"Find the indices of array elements that are non-zero, grouped by element.",numpy.argwhere
"Calls , element-wise.",numpy.char.decode
Move axes of an array to new positions.,numpy.moveaxis
Empty masked array with all elements masked.,numpy.ma.masked_all
"Raise a square matrix to the (integer) power ,.",numpy.linalg.matrix_power
Returns a view of the array with axes transposed.,numpy.ndarray.transpose
"Return a copy of , with its elements centered in a string of
length ,.",numpy.char.center
Compute the 2-dimensional FFT of a real array.,numpy.fft.rfft2
Compute the inverse sine of x.,numpy.emath.arcsin
"Computes the inverse of ,.",numpy.fft.irfft
"Compute the median along the specified axis, while ignoring NaNs.",numpy.nanmedian
"Compute the arithmetic mean along the specified axis, ignoring NaNs.",numpy.nanmean
A character code (one of ‘biufcmMOSUV’) identifying the general kind of data.,numpy.dtype.kind
A nicer way to build up index tuples for arrays.,numpy.s_
"Print information about various resources in the system
including available intrinsic support and BLAS/LAPACK library
in use",numpy.show_runtime
Check for a complex type or an array of complex numbers.,numpy.iscomplexobj
Return a new array with the same shape and type as a given array.,numpy.ma.empty_like
A new 1-D array initialized from text data in a string.,numpy.fromstring
"Evaluates the lowest cost contraction order for an einsum expression by
considering the creation of intermediate arrays.",numpy.einsum_path
"Return the indices of the minimum values in the specified axis ignoring
NaNs. For all-NaN slices , is raised. Warning: the results
cannot be trusted if a slice contains only NaNs and Infs.",numpy.nanargmin
,numpy.dtype.type
Produce an object that mimics broadcasting.,numpy.broadcast
Show libraries in the system on which NumPy was built.,numpy.show_config
"Returns a bool array, where True if input element is complex.",numpy.iscomplex
"Return a new array of given shape and type, without initializing entries.",numpy.ma.empty
Parse and compare numpy version strings.,numpy.lib.NumpyVersion
Information about the memory layout of the array.,numpy.ndarray.flags
"Construct an array from a text file, using regular expression parsing.",numpy.fromregex
"Return a view of the array with , and , interchanged.",numpy.ndarray.swapaxes
Convert series to a different kind and/or domain and/or window.,numpy.polynomial.polynomial.Polynomial.convert
"Test element-wise for negative infinity, return result as bool array.",numpy.isneginf
"Compute the logarithm base 10 of ,.",numpy.emath.log10
"Test element-wise for positive infinity, return result as bool array.",numpy.isposinf
Least squares fit to data.,numpy.polynomial.polynomial.Polynomial.fit
"Remove axes of length one from ,.",numpy.ndarray.squeeze
"Return a masked array with elements from , or ,, depending on condition.",numpy.ma.where
"Return (a * i), that is string multiple concatenation,
element-wise.",numpy.char.multiply
Find the union of two arrays.,numpy.union1d
Construct an array by executing a function over each coordinate.,numpy.ma.fromfunction
Returns an array containing the same data with a new shape.,numpy.ndarray.reshape
Interpret a buffer as a 1-dimensional array.,numpy.ma.frombuffer
Returns pointers to the end-points of an array.,numpy.byte_bounds
Set the floating-point error callback function or log object.,numpy.seterrcall
"Calculates ,, broadcasting over , only.
Returns a boolean array of the same shape as , that is True
where an element of , is in , and False otherwise.",numpy.isin
Get the current way of handling floating-point errors.,numpy.geterr
"Compute the logarithm base 2 of ,.",numpy.emath.log2
Axis supplied was invalid.,numpy.AxisError
"Return the array as an ,-levels deep nested list of Python scalars.",numpy.ndarray.tolist
Find the set difference of two arrays.,numpy.setdiff1d
Notes,numpy.ma.copy
Determine if two arrays might share memory,numpy.may_share_memory
"Sort an array in-place. Refer to , for full documentation.",numpy.ndarray.sort
"Compute the natural logarithm of ,.",numpy.emath.log
"Get help information for a function, class, or module.",numpy.info
Return a copy of the array.,numpy.ndarray.copy
"Sort a complex array using the real part first, then the imaginary part.",numpy.sort_complex
Determine if two arrays share memory.,numpy.shares_memory
"Compute the dot product of two or more arrays in a single function call,
while automatically selecting the fastest evaluation order.",numpy.linalg.multi_dot
Return the size of the buffer used in ufuncs.,numpy.getbufsize
Length of one array element in bytes.,numpy.ndarray.itemsize
The real part of the array.,numpy.ndarray.real
The imaginary part of the array.,numpy.ndarray.imag
"Insert scalar into an array (scalar is cast to array’s dtype, if possible)",numpy.ndarray.itemset
"Set array flags WRITEABLE, ALIGNED, WRITEBACKIFCOPY,
respectively.",numpy.ndarray.setflags
Data-type of the array’s elements.,numpy.ndarray.dtype
Total bytes consumed by the elements of the array.,numpy.ndarray.nbytes
Number of elements in the array.,numpy.ndarray.size
"A compatibility alias for ,, with exactly the same behavior.",numpy.ndarray.tostring
"Returns the pickle of the array as a string.
pickle.loads will convert the string back to an array.",numpy.ndarray.dumps
"Set , for all , in indices.",numpy.ndarray.put
Return a flattened array.,numpy.ndarray.ravel
Complex-conjugate all elements.,numpy.ndarray.conj
Return self!=value.,numpy.ndarray.__ne__
True if self else False,numpy.ndarray.__bool__
Return self<value.,numpy.ndarray.__lt__
Return self>=value.,numpy.ndarray.__ge__
Return self>value.,numpy.ndarray.__gt__
Return self<=value.,numpy.ndarray.__le__
"Returns the variance of the array elements, along given axis.",numpy.ndarray.var
Return self==value.,numpy.ndarray.__eq__
,numpy.ndarray.__abs__
-self,numpy.ndarray.__neg__
+self,numpy.ndarray.__pos__
~self,numpy.ndarray.__invert__
Return self<<=value.,numpy.ndarray.__ilshift__
Return repr(self).,numpy.ndarray.__repr__
Return self+value.,numpy.ndarray.__add__
Return self>>=value.,numpy.ndarray.__irshift__
Return str(self).,numpy.ndarray.__str__
,numpy.ndarray.__complex__
,numpy.ndarray.__float__
,numpy.ndarray.__new__
For unpickling.,numpy.ndarray.__setstate__
For pickling.,numpy.ndarray.__reduce__
"Used if , is called on an array.",numpy.ndarray.__deepcopy__
Return self[key].,numpy.ndarray.__getitem__
Set self[key] to value.,numpy.ndarray.__setitem__
Return len(self).,numpy.ndarray.__len__
"Returns a view of , with the same type as self.",numpy.ndarray.__array_wrap__
,numpy.ndarray.__int__
"Returns either a new reference to self if dtype is not given or a new array
of provided data type if dtype is different from the current dtype of the
array.",numpy.ndarray.__array__
"Return ,.",numpy.ndarray.__matmul__
"Used if , is called on an array. Returns a copy of the array.",numpy.ndarray.__copy__
Return self|=value.,numpy.ndarray.__ior__
Return self%=value.,numpy.ndarray.__imod__
Return self&=value.,numpy.ndarray.__iand__
Return self^=value.,numpy.ndarray.__ixor__
Return self**=value.,numpy.ndarray.__ipow__
Return self/=value.,numpy.ndarray.__itruediv__
Return self*=value.,numpy.ndarray.__imul__
Return self//=value.,numpy.ndarray.__ifloordiv__
Return self+=value.,numpy.ndarray.__iadd__
Return self|value.,numpy.ndarray.__or__
Return self-=value.,numpy.ndarray.__isub__
Return self^value.,numpy.ndarray.__xor__
Return self>>value.,numpy.ndarray.__rshift__
Return self<<value.,numpy.ndarray.__lshift__
"Return pow(self, value, mod).",numpy.ndarray.__pow__
Return self&value.,numpy.ndarray.__and__
"Return divmod(self, value).",numpy.ndarray.__divmod__
Return self*value.,numpy.ndarray.__mul__
Return self%value.,numpy.ndarray.__mod__
Return self/value.,numpy.ndarray.__truediv__
Return self//value.,numpy.ndarray.__floordiv__
Return self-value.,numpy.ndarray.__sub__
